country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Djibouti,SSA,2016,NF,6,5,3,3,3,9,6,3,4,6,19,28
Dominica,Americas,2016,F,1,1,12,16,10,38,15,12,15,15,57,95
Dominican Republic,Americas,2016,PF,3,3,10,10,9,29,14,10,8,9,41,70
Ecuador,Americas,2016,PF,3,3,7,11,6,24,12,7,6,10,35,59
Egypt,MENA,2016,NF,6,5,3,4,2,9,5,4,2,7,18,27
El Salvador,Americas,2016,F,2,3,10,14,9,33,12,8,8,8,36,69
Equatorial Guinea,SSA,2016,NF,7,7,0,1,0,1,4,0,0,3,7,8
Eritrea,SSA,2016,NF,7,7,0,0,1,1,0,0,0,2,2,3
Estonia,Europe,2016,F,1,1,12,15,11,38,16,12,14,14,56,94
Ethiopia,SSA,2016,NF,7,6,1,0,3,4,3,0,3,5,11,15
Fiji,Asia,2016,PF,3,3,9,11,7,27,11,5,9,10,35,62
Finland,Europe,2016,F,1,1,12,16,12,40,16,12,16,16,60,100
France,Europe,2016,F,1,1,12,15,11,38,14,11,13,15,53,91
Gabon,SSA,2016,NF,6,5,2,4,3,9,10,4,6,5,25,34
Gaza Strip,MENA,2016,NF,7,6,0,2,1,3,4,3,0,2,9,12
Georgia,Eurasia,2016,PF,3,3,9,11,7,27,11,8,8,10,37,64
Germany,Europe,2016,F,1,1,12,15,12,39,15,12,14,15,56,95
Ghana,SSA,2016,F,1,2,12,15,10,37,14,11,11,10,46,83
Greece,Europe,2016,F,2,2,12,15,8,35,14,11,10,13,48,83
Grenada,Americas,2016,F,1,2,12,16,10,38,15,11,12,13,51,89
Guatemala,Americas,2016,PF,4,4,8,10,5,23,12,6,5,8,31,54
Guinea,SSA,2016,PF,5,5,6,8,3,17,9,5,4,5,23,40
Guinea-Bissau,SSA,2016,PF,5,5,7,8,1,16,10,5,3,5,23,39
Guyana,Americas,2016,F,2,3,11,13,8,32,15,10,8,9,42,74
Haiti,Americas,2016,PF,5,5,4,8,5,17,10,4,4,6,24,41
Honduras,Americas,2016,PF,4,4,7,9,3,19,9,5,4,8,26,45
Hong Kong,Asia,2016,PF,5,2,3,7,6,16,12,8,14,13,47,63
Hungary,Europe,2016,F,2,2,9,15,8,32,13,11,10,13,47,79
Iceland,Europe,2016,F,1,1,12,16,12,40,16,12,16,16,60,100
India,Asia,2016,F,2,3,12,14,9,35,13,10,9,10,42,77
Indian Kashmir,Asia,2016,PF,4,4,9,9,4,22,9,6,6,8,29,51
Indonesia,Asia,2016,PF,2,4,11,14,6,31,12,8,5,9,34,65
Iran,MENA,2016,NF,6,6,3,2,2,7,2,1,3,4,10,17
Iraq,MENA,2016,NF,5,6,8,5,2,12,5,6,0,4,15,27
Ireland,Europe,2016,F,1,1,12,16,11,39,16,12,14,15,57,96
Israel,MENA,2016,F,1,2,12,14,10,36,12,10,11,11,44,80
Italy,Europe,2016,F,1,1,12,14,10,36,15,12,12,14,53,89
Jamaica,Americas,2016,F,2,3,12,13,9,34,15,9,7,10,41,75
Japan,Asia,2016,F,1,1,12,16,12,40,15,12,15,14,56,96
Jordan,MENA,2016,NF,6,5,2,6,3,11,7,4,6,8,25,36
Kazakhstan,Eurasia,2016,NF,6,5,2,3,1,6,4,2,4,8,18,24
Kenya,SSA,2016,PF,4,4,7,10,5,22,11,6,5,7,29,51
Kiribati,Asia,2016,F,1,1,12,16,8,36,15,12,15,13,55,91
Kosovo,Europe,2016,PF,3,4,9,10,5,24,9,6,6,7,28,52
